Workout,Exercise,Sets,Reps,Weight,
1- Push/Arms/Back,Single Arm Pulldown - Kneeling,4,12,50,
1- Push/Arms/Back,Seated Cable Row,4,15,80,
1- Push/Arms/Back,Arm Curl (Barbell),4,12,27.5,
1- Push/Arms/Back,Rope Tricep Extension,4,12,47.5,
1- Push/Arms/Back,Chest Press - Flat Bench (Dumbbells),4,12,25,Form check?
1- Push/Arms/Back,Dead Bug with Kettlebell,4,10-12,0,
1- Push/Arms/Back,Jack Knife,4,10,0,
,,,,,
2 – Lower & Posterior Chain,Landmine Shoulder Press,4,8,35,
2 – Lower & Posterior Chain,Stiff-Leg Deadlift,3,10,70,
2 – Lower & Posterior Chain,Push-up Drop Set (feet-elevated → floor),3,20,0,
2 – Lower & Posterior Chain,Preacher Curl,3,8,12.5,
2 – Lower & Posterior Chain,Front-Facing Lat Pulldown,3,10,70,
2 – Lower & Posterior Chain,Overhead Cable Triceps Extension (Rope),3,12,40,
2 – Lower & Posterior Chain,Leg Press,3,10-20,100,
2 – Lower & Posterior Chain,Roman Chair Side Bend,2,3x10,0,
2 – Lower & Posterior Chain,Reverse Alternating Lunge (Kettlebell),3,10,12,
2 – Lower & Posterior Chain,Farmers Carry (Kettlebell),3,2x3 laps,28,
3 – Upper B (Vertical Push / Horizontal Pull),Close-Grip Cable Row,3,15,80,
3 – Upper B (Vertical Push / Horizontal Pull),Straight Arm Lat Pulldown,3,12,37.5,
3 – Upper B (Vertical Push / Horizontal Pull),EZ-Bar Curl,3,12,27.5,
3 – Upper B (Vertical Push / Horizontal Pull),Push Ups,3,15-20,0,
3 – Upper B (Vertical Push / Horizontal Pull),Rope Tricep Pushdown,3,12,47.5,
3 – Upper B (Vertical Push / Horizontal Pull),Jack Knife,3,12,0,
3 – Upper B (Vertical Push / Horizontal Pull),Reverse Alternating Lunge (Kettlebell),3,10,12,
3 – Upper B (Vertical Push / Horizontal Pull),Cable Pallof Press,3,12,10,
3 – Upper B (Vertical Push / Horizontal Pull),Landmine Lateral-Raise→Press,3,10,20,